 State,Town,Resource
 ME,Augusta,Apples
 ME,Saco,Apples
 NH,Atkinson,Apples
 VT,Grand Isle,Apples
 VT,Woodstock,Apples
 MA,Bernardston,Apples
 MA,Duxbury,Apples
 RI,East Greenwich,Apples
 RI,Hopkinton,Apples
 RI,Smithfield,Apples
 ME,Isle de Haut,Asbestos
 MA,Newbury,Asbestos
 MA,West Newbury,Asbestos
 CT,Orange,Asbestos
 MA,Braintree,Coal
 MA,Mansfield,Coal
 MA,Quincy,Coal
 MA,Wrentham,Coal
 CT,Newtown,Coal
 CT,Southbury,Coal
 RI,Newport County,Coal
 RI,Portsmouth,Coal
 NH,Bedford,Copper
 VT,Strafford,Copper
 MA,Canton,Copper
 MA,Granby,Copper
 MA,Greenfield,Copper
 MA,Shutesbury,Copper
 CT,Bristol,Copper
 CT,Derby,Copper
 CT,Granby,Copper
 CT,Hamden,Copper
 CT,Monroe,Copper
 CT,Orange,Copper
 CT,Southington,Copper
 CT,Torrington,Copper
 ME,Brunswick,Mills
 ME,Gorham,Mills
 ME,Kennebunk,Mills
 ME,Lewiston,Mills
 ME,Lisbon,Mills
 ME,Saco,Mills
 ME,Sanford,Mills
 ME,Westbrook,Mills
 ME,Winthrop,Mills
 NH,Brentwood,Mills
 NH,Bristol,Mills
 NH,Chesterfield,Mills
 NH,Dover,Mills
 NH,Exeter,Mills
 NH,Franklin,Mills
 NH,Gilford,Mills
 NH,Gilsum,Mills
 NH,Goffstown,Mills
 NH,Hancock,Mills
 NH,Hillsborough,Mills
 NH,Hooksett,Mills
 NH,Jaffrey,Mills
 NH,Mason,Mills
 NH,Meredith,Mills
 NH,Nashua,Mills
 NH,Nelson,Mills
 NH,New Ipswich,Mills
 NH,Pittsfield,Mills
 NH,Swanzey,Mills
 NH,Wakefield,Mills
 NH,Winchester,Mills
 MA,Adams,Mills
 MA,Chester,Mills
 MA,Coleraine,Mills
 MA,Easton,Mills
 MA,Fairhaven,Mills
 MA,Fall River,Mills
 MA,Franklin,Mills
 MA,Hopkinton,Mills
 MA,Ludlow,Mills
 MA,Marshfield,Mills
 MA,Middleborough,Mills
 MA,Millbury,Mills
 MA,Monson,Mills
 MA,Oxford,Mills
 MA,Palmer,Mills
 MA,Pawtucket,Mills
 MA,Pittsfield,Mills
 MA,Seekonk,Mills
 MA,Sharon,Mills
 MA,Shirley,Mills
 MA,Southbridge,Mills
 MA,Sturbridge,Mills
 MA,Taunton,Mills
 MA,Uxbridge,Mills
 MA,Waltham,Mills
 MA,Wareham,Mills
 MA,Webster,Mills
 MA,West Boylston,Mills
 MA,Wrentham,Mills
 CT,East Haddam,Mills
 CT,Sterling,Mills
 CT,Voluntown,Mills
 CT,Westport,Mills
 CT,Windham,Mills
 RI,East Greenwich,Mills
 RI,Exeter,Mills
 ME,Baldwin,Freshwater Fish
 ME,Belgrade,Freshwater Fish
 ME,Cobbessecontee Waters,Freshwater Fish
 ME,Windham,Freshwater Fish
 ME,Winthrop,Freshwater Fish
 NH,Alstead,Freshwater Fish
 NH,Antrim,Freshwater Fish
 NH,Atkinson,Freshwater Fish
 NH,Barnstead,Freshwater Fish
 NH,Brookfield,Freshwater Fish
 NH,Centre Harbor,Freshwater Fish
 NH,Chesterfield,Freshwater Fish
 NH,Deerfield,Freshwater Fish
 NH,Enfield,Freshwater Fish
 NH,Hampton,Freshwater Fish
 NH,New Castle,Freshwater Fish
 NH,Northwood,Freshwater Fish
 NH,Peterborough,Freshwater Fish
 NH,Rindge,Freshwater Fish
 NH,Squam Lake,Freshwater Fish
 NH,Stewartstown,Freshwater Fish
 NH,Washington,Freshwater Fish
 NH,Whitefield,Freshwater Fish
 NH,Winnepisiogee Lake,Freshwater Fish
 VT,Berlin,Freshwater Fish
 VT,Calais,Freshwater Fish
 VT,Champlain Lake,Freshwater Fish
 VT,Craftsbury,Freshwater Fish
 VT,Eden,Freshwater Fish
 VT,Elligo Pond,Freshwater Fish
 VT,Fairlee,Freshwater Fish
 VT,Grand Isle,Freshwater Fish
 VT,Johnson,Freshwater Fish
 VT,Kirby,Freshwater Fish
 VT,Marlborough,Freshwater Fish
 VT,Pawlet,Freshwater Fish
 VT,Peru,Freshwater Fish
 VT,Plainfield,Freshwater Fish
 VT,Plymouth,Freshwater Fish
 VT,Stamford,Freshwater Fish
 VT,Thetford,Freshwater Fish
 VT,Tinmouth,Freshwater Fish
 VT,Wolcott,Freshwater Fish
 MA,Bradford,Freshwater Fish
 MA,Framingham,Freshwater Fish
 MA,Granby,Freshwater Fish
 MA,Hardwick,Freshwater Fish
 MA,Lanesborough,Freshwater Fish
 MA,Lincoln,Freshwater Fish
 MA,North Brookfield,Freshwater Fish
 MA,Orange,Freshwater Fish
 MA,Rutland,Freshwater Fish
 MA,Sharon,Freshwater Fish
 MA,Sturbridge,Freshwater Fish
 MA,Warwick,Freshwater Fish
 MA,Windsor,Freshwater Fish
 CT,Brookfield,Freshwater Fish
 CT,Canterbury,Freshwater Fish
 CT,East Haddam,Freshwater Fish
 CT,Marlborough,Freshwater Fish
 CT,Middlesex County,Freshwater Fish
 RI,Hopkinton,Freshwater Fish
 RI,North Providence,Freshwater Fish
 RI,South Kingston,Freshwater Fish
 ME,Byron,Gold
 ME,Ogunquit,Gold
 ME,Rangely,Gold
 ME,Rumford,Gold
 NH,Warren,Gold
 NH,Swiftwater,Gold
 VT,Bridgewater,Gold
 VT,Newfane,Gold
 VT,Plymouth,Gold
 VT,Somerset,Gold
 VT,Stowe,Gold
 CT,Harwinton,Gold
 ME,Hallowell,Granite
 ME,Kennebunk Port,Granite
 ME,Thomaston,Granite
 NH,Bedford,Granite
 NH,Bow,Granite
 NH,Chester,Granite
 NH,Conway,Granite
 NH,Durham,Granite
 NH,Haverhill,Granite
 NH,Kearsarge Mountain,Granite
 NH,New Durham,Granite
 NH,Orford,Granite
 VT,Barre,Granite
 VT,Caledonia County,Granite
 VT,Dummerston,Granite
 VT,Orange,Granite
 VT,Orange County,Granite
 VT,Topsham,Granite
 VT,Washington County,Granite
 MA,Braintree,Granite
 MA,Chelmsford,Granite
 MA,Fall River,Granite
 MA,Fitchburgh,Granite
 MA,Gloucester,Granite
 MA,Milton,Granite
 MA,Norfolk County,Granite
 MA,Quincy,Granite
 MA,Sutton,Granite
 MA,Tyngsborough,Granite
 MA,Uxbridge,Granite
 MA,Westford,Granite
 MA,Winchendon,Granite
 CT,Barkhampstead,Granite
 CT,Bolton,Granite
 CT,Bristol,Granite
 CT,Haddam,Granite
 CT,Harwinton,Granite
 CT,New Milford,Granite
 CT,Salisbury,Granite
 CT,Willington,Granite
 CT,Winchester,Granite
 RI,Bristol County,Granite
 ME,Parsonsfield,Iron
 ME,Winthorp,Iron
 NH,Bedford,Iron
 NH,Bethlehem,Iron
 NH,Brentwood,Iron
 NH,Campton,Iron
 NH,Claremont,Iron
 NH,Haverhill,Iron
 NH,Hinsdale,Iron
 NH,Lebanon,Iron
 NH,Lisbon,Iron
 NH,Madbury,Iron
 NH,Moultonborough,Iron
 NH,Nottingham,Iron
 NH,Orange,Iron
 NH,Peterborough,Iron
 NH,Rindge,Iron
 NH,Seabrook,Iron
 NH,Somersworth,Iron
 NH,Swanzey,Iron
 NH,Wentworth,Iron
 VT,Barnet,Iron
 VT,Bennington,Iron
 VT,Brandon,Iron
 VT,Bridgewater,Iron
 VT,Monkton,Iron
 VT,Pittsford,Iron
 VT,Rutland,Iron
 VT,Shaftsbury,Iron
 VT,Swanton,Iron
 VT,Tinmouth,Iron
 VT,Waitsfield,Iron
 MA,Bellingham,Iron
 MA,Boylston,Iron
 MA,Cummington,Iron
 MA,Great Barrington,Iron
 MA,Hanson,Iron
 MA,Lee,Iron
 MA,Lenox,Iron
 MA,Richmond,Iron
 MA,Sheffield,Iron
 MA,Uxbridge,Iron
 MA,West Springfield,Iron
 MA,West Stockbridge,Iron
 CT,Barkhampstead,Iron
 CT,Canaan,Iron
 CT,Colchester,Iron
 CT,Kent,Iron
 CT,Roxbury,Iron
 CT,Salisbury,Iron
 CT,Sherman,Iron
 CT,Stafford,Iron
 CT,Washington,Iron
 NH,Bethlehem,Maple Sugar
 NH,Ellsworth,Maple Sugar
 NH,Holderness,Maple Sugar
 NH,Lisbon,Maple Sugar
 NH,Sandwich,Maple Sugar
 VT,Guilford,Maple Sugar
 CT,Norfolk,Maple Sugar
 ME,Camden,Marble
 ME,Thomaston,Marble
 VT,Addison County,Marble
 VT,Arlington,Marble
 VT,Bennington,Marble
 VT,Bennington County,Marble
 VT,Brandon,Marble
 VT,Clarenden,Marble
 VT,Franklin County,Marble
 VT,Grand Isle,Marble
 VT,Manchester,Marble
 VT,Middlebury,Marble
 VT,Middletown,Marble
 VT,Pittsford,Marble
 VT,Rutland,Marble
 VT,Rutland County,Marble
 VT,Shaftsbury,Marble
 VT,Swanton,Marble
 VT,Tinmouth,Marble
 VT,Wallingford,Marble
 MA,Adams,Marble
 MA,Great Barrington,Marble
 MA,Lanesborough,Marble
 MA,Lee,Marble
 MA,Lenox,Marble
 MA,New Ashford,Marble
 MA,Newbury,Marble
 MA,Richmond,Marble
 MA,Sheffield,Marble
 MA,Stockbridge,Marble
 MA,West Newbury,Marble
 MA,West Stockbridge,Marble
 CT,Brookfield,Marble
 CT,Milford,Marble
 CT,New Milford,Marble
 CT,Washington,Marble
 CT,Monroe,Silver
 CT,Orange,Silver
 CT,Roxbury,Silver
 CT,Wilton,Silver
 MA,Worcester,Silver
 ME,Barnard,Slate
 ME,Williamsburgh,Slate
 NH,Monadnock Mountain,Slate
 VT,Barnet,Slate
 VT,Bridgewater,Slate
 VT,Dover,Slate
 VT,Dummerston,Slate
 VT,Orange County,Slate
 VT,Springfield,Slate
 VT,Troy,Slate
 VT,Vernon,Slate
 VT,Washington County,Slate
 VT,Windham County,Slate
 MA,Harvard,Slate
 MA,Lanesborough,Slate
 MA,Leominster,Slate
 MA,Quincy,Slate
 MA,Wendell,Slate
 CT,Bolton,Slate
 CT,Killingly,Slate
 CT,Winchester,Slate
 NH,Orford,Soapstone
 VT,Bethel,Soapstone
 VT,Bridgewater,Soapstone
 VT,Grafton,Soapstone
 VT,Johnson,Soapstone
 VT,Plymouth,Soapstone
 VT,Troy,Soapstone
 MA,Andover,Soapstone
 MA,Cummington,Soapstone
 MA,Granville,Soapstone
 MA,Groton,Soapstone
 MA,Shutesbury,Soapstone
 MA,Sutton,Soapstone
 MA,Windsor,Soapstone
 NH,Amherst,Soapstone
 NH,Bethlehem,Soapstone
 NH,Conway,Soapstone
 NH,Gilmanton,Soapstone
 NH,Grantham,Soapstone
 NH,Hillsborough County,Soapstone
 NH,Hinsdale,Soapstone
 NH,Jaffrey,Soapstone
 NH,Lebanon,Soapstone
 NH,Littleton,Soapstone
 NH,Mount Monadnock,Soapstone
 NH,Moultonborough,Soapstone
 NH,New Hampton,Soapstone
 NH,Peeling,Soapstone
 NH,Swanzey,Soapstone
 NH,Washington,Soapstone
 VT,Alburgh [Alburg],Mineral Springs
 VT,Arlington,Mineral Springs
 VT,Berlin,Mineral Springs
 VT,Brunswick,Mineral Springs
 VT,Cabot,Mineral Springs
 VT,Chittenden,Mineral Springs
 VT,Clarenden,Mineral Springs
 VT,Danville,Mineral Springs
 VT,Dorset,Mineral Springs
 VT,Guilford,Mineral Springs
 VT,Marlborough,Mineral Springs
 VT,Orwell,Mineral Springs
 VT,Pawlet,Mineral Springs
 VT,Plainfield,Mineral Springs
 VT,Tunbridge,Mineral Springs
 MA,Bernardston,Mineral Springs
 MA,Brookfield,Mineral Springs
 MA,Fall River,Mineral Springs
 MA,Hancock,Mineral Springs
 MA,Hopkinton,Mineral Springs
 MA,West Boylston,Mineral Springs
 MA,Williamstown,Mineral Springs
 CT,Brooklyn,Mineral Springs
 CT,Meriden,Mineral Springs
 CT,Oxford,Mineral Springs
 CT,Stafford,Mineral Springs
 NH,Allenstown,Caves and Caverns
 NH,Amoskeag Falls and Village,Caves and Caverns
 NH,Barrington,Caves and Caverns
 NH,Bedford,Caves and Caverns
 NH,Chester,Caves and Caverns
 NH,Monadnock Mountain,Caves and Caverns
 NH,New Durham,Caves and Caverns
 NH,Raymond,Caves and Caverns
 NH,Weare,Caves and Caverns
 VT,Arlington,Caves and Caverns
 VT,Brandon,Caves and Caverns
 VT,Clarenden,Caves and Caverns
 VT,Danby,Caves and Caverns
 VT,Dorset,Caves and Caverns
 VT,Halifax,Caves and Caverns
 VT,Manchester,Caves and Caverns
 VT,Middlesex,Caves and Caverns
 VT,Monkton,Caves and Caverns
 VT,Onion River,Caves and Caverns
 VT,Salisbury,Caves and Caverns
 VT,Waterbury,Caves and Caverns
 MA,Adams,Caves and Caverns
 MA,Norton,Caves and Caverns
 MA,Sutton,Caves and Caverns
 CT,Brooklyn,Caves and Caverns
 CT,Granby,Caves and Caverns
 CT,Pomfret,Caves and Caverns
 CT,Ridgefield,Caves and Caverns
 CT,Sterling,Caves and Caverns
